Phrase_ID,en,es,pt,fr,it,ko,,
error,CSV ERROR,CSV ERROR,CSV ERROR,CSV ERROR,CSV ERROR,CSV ERROR,,
title,Title,Título,Título,Titre,Titolo,제목,,
title_supplement,and other resources,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
creator,Creator,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
publisher,Publisher,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
identifier,Identifier,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
issued,Issued,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
modified,Modified,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
description,Description,Descripción,Descrição,La Description,Descrizione,설명,,
contents,Table of Contents,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
index_of_terms,Index Of Terms,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
index_of_terms_header,"An alphabetical index of the ontology terms, divided into classes, properties, vocabulary encoding schemes and their concepts - vocabulary encoding schemes are sets of concepts. All the terms are hyperlinked to their detailed description for quick reference.",NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
properties,Properties,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
classes,Classes,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
vesses,Vocabulary Encoding Schemes,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
schema0,Economic Activities/Sectors Vocabulary Encoding Scheme,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
schema1,Economic Activities/Sectors (Modified) Vocabulary Encoding Scheme,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
schema2,Economic Activities/Sectors (ICA - L2) Vocabulary Encoding Scheme,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
schema3,Legal Form Vocabulary Encoding Scheme,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
schema4,Organisational Structure Vocabulary Encoding Scheme,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
schema5,Base Membership Type Vocabulary Encoding Scheme,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,NO TRANSLATION AVAILABLE,,
